id,scheduled,duration_TM,waitingTime_TM,timeLoss_TM,routeLength_TM,departDelay_TM,rerouteNo_TM,duration_RL,waitingTime_RL,timeLoss_RL,routeLength_RL,departDelay_RL,rerouteNo_RL
veh7436,2467.0,2154.0,1917.0,2045.91,1472.38,0.0,19.0,1633.0,1279.0,1480.0,2107.21,0.0,16.0
veh7437,2467.0,2772.0,2062.0,2380.97,2830.37,0.0,31.0,3093.0,2443.0,2922.48,2332.24,0.0,31.0
veh7438,2468.0,837.0,528.0,683.39,2134.23,0.0,8.0,1126.0,822.0,978.45,2010.93,0.0,14.0
veh7439,2468.0,424.0,256.0,343.65,961.02,6.0,1.0,391.0,234.0,311.83,961.02,20.0,1.0
veh744,246.0,458.0,317.0,381.77,960.55,16.0,1.0,856.0,605.0,736.61,1496.65,1.0,6.0
veh7440,2468.0,1138.0,742.0,954.51,2296.12,845.0,6.0,954.0,730.0,814.24,1737.65,166.0,9.0
veh7441,2469.0,397.0,266.0,344.63,717.91,54.0,3.0,227.0,131.0,175.01,717.91,28.0,1.0
veh7442,2469.0,224.0,127.0,153.36,975.87,3.0,1.0,334.0,224.0,262.83,975.87,0.0,1.0
veh7443,2469.0,912.0,688.0,802.57,1479.07,3.0,6.0,486.0,346.0,416.05,937.43,0.0,1.0
veh7444,2470.0,2010.0,1270.0,1674.01,4414.66,0.0,22.0,3840.0,2895.0,3422.03,5528.2,51.0,53.0
veh7445,2470.0,1248.0,824.0,1097.53,2056.97,169.0,11.0,847.0,594.0,695.62,2078.24,480.0,8.0
veh7446,2470.0,69.0,5.0,15.5,675.94,0.0,1.0,70.0,5.0,16.77,675.94,0.0,1.0
veh7447,2471.0,2770.0,2254.0,2566.27,2324.53,0.0,24.0,2233.0,1801.0,2070.4,1861.4,0.0,10.0
veh7448,2471.0,731.0,504.0,642.71,1205.89,0.0,2.0,1780.0,1537.0,1728.81,701.69,64.0,9.0
veh7449,2471.0,798.0,473.0,622.03,2320.97,967.0,5.0,2199.0,1850.0,2104.86,1259.67,166.0,17.0
veh745,247.0,157.0,59.0,86.77,938.11,0.0,1.0,100.0,6.0,30.19,950.76,0.0,1.0
veh7450,2472.0,442.0,271.0,369.6,938.36,71.0,3.0,296.0,173.0,224.6,938.36,28.0,1.0
veh7451,2472.0,699.0,444.0,589.24,1496.53,1161.0,4.0,412.0,198.0,302.17,1510.75,50.0,2.0
veh7453,2473.0,778.0,544.0,661.12,1472.98,109.0,2.0,391.0,218.0,273.78,1471.74,58.0,2.0
veh7454,2473.0,520.0,331.0,431.5,1196.61,0.0,5.0,520.0,338.0,431.26,1196.61,0.0,1.0
veh7455,2473.0,466.0,288.0,374.62,1260.88,0.0,3.0,283.0,98.0,191.63,1258.25,3.0,1.0
veh7456,2474.0,1432.0,860.0,1158.1,3630.81,0.0,11.0,1029.0,701.0,875.9,2039.18,0.0,7.0
veh7457,2474.0,289.0,141.0,192.24,1213.39,2.0,1.0,831.0,609.0,733.81,1207.73,73.0,3.0
veh7458,2474.0,346.0,227.0,296.46,661.67,2097.0,2.0,775.0,625.0,724.75,661.67,668.0,6.0
veh7459,2475.0,1070.0,757.0,906.35,2064.35,100.0,4.0,759.0,456.0,594.66,2086.54,335.0,6.0
veh746,247.0,245.0,108.0,149.31,1237.81,0.0,1.0,250.0,121.0,154.12,1237.81,0.0,1.0
veh7460,2475.0,1168.0,853.0,1056.41,1539.09,175.0,13.0,993.0,729.0,841.0,2104.19,493.0,7.0
veh7461,2475.0,573.0,308.0,423.42,2050.66,0.0,3.0,289.0,77.0,139.14,2050.66,0.0,1.0
veh7462,2476.0,957.0,565.0,767.86,2598.47,963.0,6.0,969.0,757.0,860.1,1483.27,205.0,7.0
veh7463,2476.0,324.0,206.0,272.48,658.52,0.0,1.0,404.0,258.0,352.29,658.52,175.0,3.0
veh7465,2477.0,450.0,288.0,380.37,941.78,0.0,1.0,184.0,83.0,114.53,941.78,0.0,1.0
veh7466,2477.0,312.0,175.0,220.6,1247.48,4.0,2.0,135.0,23.0,43.44,1247.48,0.0,1.0
veh7467,2477.0,340.0,209.0,267.3,979.36,67.0,3.0,136.0,35.0,63.46,974.44,27.0,1.0
veh7468,2478.0,883.0,596.0,750.68,1805.66,0.0,5.0,420.0,245.0,327.32,1278.62,0.0,1.0
veh7469,2478.0,158.0,84.0,105.57,717.8,0.0,1.0,154.0,86.0,101.92,717.8,1.0,1.0
veh747,247.0,136.0,63.0,82.51,718.62,0.0,1.0,60.0,0.0,7.02,718.62,0.0,1.0
