time,tls,d0,d1,d2,d3
990,F1,24,22,22,22
990,F2,60,10,10,10
990,F3,60,10,10,10
990,F4,24,22,22,22
990,F5,10,60,10,10
1080,A0,54,12,12,12
1080,A1,24,22,22,22
1080,A2,11,11,57,11
1080,A4,60,10,10,10
1080,A5,27,21,21,21
1080,B0,24,22,22,22
1080,B1,21,27,21,21
1080,B2,24,22,22,22
1080,B4,24,22,22,22
1080,B5,60,10,10,10
1080,C0,20,20,30,20
1080,C1,24,22,22,22
1080,C2,58,12,10,10
1080,C3,60,10,10,10
1080,C4,60,10,10,10
1080,C5,57,11,11,11
1080,D0,24,22,22,22
1080,D1,19,19,33,19
1080,D2,48,14,14,14
1080,D3,24,22,22,22
1080,D4,24,22,22,22
1080,D5,13,13,51,13
1080,E0,24,22,22,22
1080,E1,24,22,22,22
1080,E2,24,22,22,22
1080,E3,60,10,10,10
1080,E4,11,11,57,11
1080,E5,10,10,60,10
1080,F0,24,22,22,22
1080,F1,24,22,22,22
1080,F2,60,10,10,10
1080,F3,60,10,10,10
1080,F4,24,22,22,22
1080,F5,10,60,10,10
1170,A0,51,13,13,13
1170,A1,24,22,22,22
1170,A2,11,11,57,11
1170,A4,60,10,10,10
1170,A5,27,21,21,21
1170,B0,24,22,22,22
1170,B1,21,27,21,21
1170,B2,24,22,22,22
1170,B4,24,22,22,22
1170,B5,60,10,10,10
1170,C0,21,21,27,21
1170,C1,24,22,22,22
1170,C2,58,12,10,10
1170,C3,60,10,10,10
1170,C4,57,11,11,11
1170,C5,57,11,11,11
1170,D0,24,22,22,22
1170,D1,20,20,30,20
1170,D2,48,14,14,14
1170,D3,24,22,22,22
1170,D4,24,22,22,22
1170,D5,13,13,51,13
1170,E0,24,22,22,22
1170,E1,24,22,22,22
1170,E2,24,22,22,22
1170,E3,60,10,10,10
1170,E4,11,11,57,11
1170,E5,10,10,60,10
1170,F0,24,22,22,22
1170,F1,24,22,22,22
1170,F2,60,10,10,10
1170,F3,60,10,10,10
1170,F4,24,22,22,22
1170,F5,10,60,10,10
1260,A0,51,13,13,13
1260,A1,24,22,22,22
1260,A2,11,11,57,11
1260,A4,60,10,10,10
1260,A5,27,21,21,21
1260,B0,24,22,22,22
1260,B1,22,24,22,22
1260,B2,24,22,22,22
1260,B4,24,22,22,22
1260,B5,60,10,10,10
1260,C0,20,20,30,20
1260,C1,24,22,22,22
1260,C2,58,12,10,10
1260,C3,60,10,10,10
1260,C4,60,10,10,10
1260,C5,57,11,11,11
1260,D0,24,22,22,22
1260,D1,19,19,33,19
1260,D2,48,14,14,14
1260,D3,24,22,22,22
1260,D4,24,22,22,22
1260,D5,13,13,51,13
1260,E0,24,22,22,22
1260,E1,24,22,22,22
1260,E2,24,22,22,22
1260,E3,60,10,10,10
1260,E4,11,11,57,11
1260,E5,10,10,60,10
1260,F0,24,22,22,22
1260,F1,24,22,22,22
1260,F2,60,10,10,10
1260,F3,60,10,10,10
1260,F4,24,22,22,22
1260,F5,10,60,10,10
1350,A0,54,12,12,12
1350,A1,24,22,22,22
1350,A2,11,11,57,11
1350,A4,60,10,10,10
1350,A5,33,19,19,19
1350,B0,24,22,22,22
1350,B1,21,27,21,21
1350,B2,24,22,22,22
1350,B4,24,22,22,22
1350,B5,60,10,10,10
1350,C0,20,20,30,20
1350,C1,24,22,22,22
1350,C2,58,12,10,10
1350,C3,60,10,10,10
1350,C4,60,10,10,10
1350,C5,57,11,11,11
1350,D0,24,22,22,22
1350,D1,18,18,36,18
1350,D2,51,13,13,13
1350,D3,24,22,22,22
1350,D4,24,22,22,22
1350,D5,12,12,54,12
1350,E0,24,22,22,22
1350,E1,24,22,22,22
1350,E2,24,22,22,22
1350,E3,60,10,10,10
1350,E4,11,11,57,11
1350,E5,10,10,60,10
1350,F0,24,22,22,22
1350,F1,24,22,22,22
1350,F2,60,10,10,10
1350,F3,60,10,10,10
1350,F4,24,22,22,22
1350,F5,10,60,10,10
1440,A0,54,12,12,12
1440,A1,24,22,22,22
1440,A2,11,11,57,11
1440,A4,60,10,10,10
1440,A5,27,21,21,21
1440,B0,24,22,22,22
1440,B1,22,24,22,22
1440,B2,24,22,22,22
1440,B4,24,22,22,22
1440,B5,60,10,10,10
1440,C0,20,20,30,20
1440,C1,24,22,22,22
1440,C2,58,12,10,10
1440,C3,60,10,10,10
1440,C4,60,10,10,10
1440,C5,57,11,11,11
1440,D0,24,22,22,22
1440,D1,19,19,33,19
1440,D2,45,15,15,15
1440,D3,24,22,22,22
1440,D4,24,22,22,22
1440,D5,13,13,51,13
1440,E0,24,22,22,22
1440,E1,24,22,22,22
1440,E2,24,22,22,22
1440,E3,60,10,10,10
1440,E4,11,11,57,11
1440,E5,10,10,60,10
1440,F0,24,22,22,22
