checkpoint, Throughput, Average duration
rl_traffic_model_2072576_steps.zip, 8570.00, 600.80
rl_traffic_model_2076672_steps.zip, 8489.00, 609.20
rl_traffic_model_2080768_steps.zip, 8554.00, 622.00
rl_traffic_model_2084864_steps.zip, 8579.00, 598.60
rl_traffic_model_2088960_steps.zip, 8397.00, 644.20
rl_traffic_model_2093056_steps.zip, 8430.00, 617.90
rl_traffic_model_2097152_steps.zip, 8268.00, 627.70
rl_traffic_model_2101248_steps.zip, 8556.00, 613.30
rl_traffic_model_2105344_steps.zip, 8552.00, 607.90
rl_traffic_model_2109440_steps.zip, 8253.00, 654.10
rl_traffic_model_2113536_steps.zip, 8570.00, 587.40
rl_traffic_model_2117632_steps.zip, 8255.00, 660.00
rl_traffic_model_2121728_steps.zip, 8358.00, 636.40
rl_traffic_model_2125824_steps.zip, 8526.00, 614.60
rl_traffic_model_2129920_steps.zip, 8274.00, 643.00
rl_traffic_model_2134016_steps.zip, 8371.00, 619.20
rl_traffic_model_2138112_steps.zip, 8494.00, 610.00
rl_traffic_model_2142208_steps.zip, 8262.00, 655.20
rl_traffic_model_2146304_steps.zip, 8117.00, 687.90
rl_traffic_model_2150400_steps.zip, 8341.00, 666.80
rl_traffic_model_2154496_steps.zip, 8553.00, 612.90
rl_traffic_model_2158592_steps.zip, 8436.00, 613.00
rl_traffic_model_2162688_steps.zip, 8441.00, 619.70
rl_traffic_model_2166784_steps.zip, 8525.00, 605.90
rl_traffic_model_2170880_steps.zip, 8455.00, 618.50
rl_traffic_model_2174976_steps.zip, 8324.00, 641.70
rl_traffic_model_2179072_steps.zip, 8324.00, 641.70
rl_traffic_model_2183168_steps.zip, 8574.00, 617.30
rl_traffic_model_2187264_steps.zip, 8377.00, 647.80
rl_traffic_model_2191360_steps.zip, 8406.00, 635.30
rl_traffic_model_2195456_steps.zip, 8397.00, 620.60
rl_traffic_model_2199552_steps.zip, 8388.00, 610.50
rl_traffic_model_2203648_steps.zip, 8266.00, 633.60
rl_traffic_model_2207744_steps.zip, 8234.00, 663.40
rl_traffic_model_2211840_steps.zip, 8527.00, 603.90
rl_traffic_model_2215936_steps.zip, 7710.00, 746.90
rl_traffic_model_2220032_steps.zip, 8532.00, 605.90
rl_traffic_model_2224128_steps.zip, 8559.00, 626.60
rl_traffic_model_2228224_steps.zip, 8510.00, 611.00
rl_traffic_model_2232320_steps.zip, 8361.00, 633.00
rl_traffic_model_2236416_steps.zip, 8551.00, 605.30
rl_traffic_model_2240512_steps.zip, 8386.00, 619.40
rl_traffic_model_2244608_steps.zip, 8272.00, 656.60
rl_traffic_model_2248704_steps.zip, 8421.00, 633.80
rl_traffic_model_2252800_steps.zip, 8437.00, 608.80
rl_traffic_model_2256896_steps.zip, 8241.00, 638.80
rl_traffic_model_2260992_steps.zip, 8567.00, 573.20
rl_traffic_model_2265088_steps.zip, 8400.00, 613.90
rl_traffic_model_2269184_steps.zip, 8107.00, 682.50
rl_traffic_model_2273280_steps.zip, 8466.00, 598.80
rl_traffic_model_2277376_steps.zip, 8265.00, 659.20
rl_traffic_model_2281472_steps.zip, 8561.00, 592.40
rl_traffic_model_2285568_steps.zip, 8329.00, 657.70
rl_traffic_model_2289664_steps.zip, 8497.00, 624.90
rl_traffic_model_2293760_steps.zip, FAILED, FAILED
rl_traffic_model_2297856_steps.zip, 8145.00, 680.90
rl_traffic_model_2301952_steps.zip, 8244.00, 644.40
rl_traffic_model_2306048_steps.zip, 8071.00, 653.80
rl_traffic_model_2310144_steps.zip, 8537.00, 593.70
rl_traffic_model_2314240_steps.zip, 8194.00, 656.40
rl_traffic_model_2318336_steps.zip, 7909.00, 722.10
rl_traffic_model_2322432_steps.zip, 7909.00, 722.10
rl_traffic_model_2326528_steps.zip, 8203.00, 631.40
rl_traffic_model_2330624_steps.zip, 8301.00, 651.30
rl_traffic_model_2334720_steps.zip, 8102.00, 693.10
rl_traffic_model_2338816_steps.zip, 8290.00, 660.90
rl_traffic_model_2342912_steps.zip, 8379.00, 629.40
rl_traffic_model_2347008_steps.zip, 8112.00, 649.10
rl_traffic_model_2351104_steps.zip, 8487.00, 603.10
rl_traffic_model_2355200_steps.zip, 8361.00, 626.10
rl_traffic_model_2359296_steps.zip, 8389.00, 621.40
rl_traffic_model_2363392_steps.zip, 8309.00, 654.20
rl_traffic_model_2367488_steps.zip, 8231.00, 658.20
rl_traffic_model_2371584_steps.zip, 8529.00, 599.30
rl_traffic_model_2375680_steps.zip, 8361.00, 639.30
